Question,Correct Answer,Incorrect answer,Incorrect answer 2,Incorrect answer 3
CPU Question1,Clock Speed1,Cache1,Cores1,RAM1
CPU Question2,Clock Speed2,Cache2,Cores2,RAM2
CPU Question3,Clock Speed3,Cache3,Cores3,RAM3
CPU Question4,Clock Speed4,Cache4,Cores4,RAM4
CPU Question5,Clock Speed5,Cache5,Cores5,RAM5
CPU Question6,Clock Speed6,Cache6,Cores6,RAM6
CPU Question7,Clock Speed7,Cache7,Cores7,RAM7
CPU Question8,Clock Speed8,Cache8,Cores8,RAM8
CPU Question9,Clock Speed9,Cache9,Cores9,RAM9
CPU Question10,Clock Speed10,Cache10,Cores10,RAM10
CPU Question11,Clock Speed11,Cache11,Cores11,RAM11
